WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 6.53 | Text-: 6.53 | Image+: 34.08 | Image-: 34.08:   1%|▏         | 49/3303 [02:23<2:34:08,  2.84s/it]
Text+: 6.4 | Text-: 6.4 | Image+: 35.4 | Image-: 35.4:   1%|▏         | 49/3303 [02:26<2:34:08,  2.84s/it]    
Text+: 6.4 | Text-: 6.4 | Image+: 35.4 | Image-: 35.4:   2%|▏         | 50/3303 [02:26<2:32:28,  2.81s/it]
Text+: 6.27 | Text-: 6.27 | Image+: 34.71 | Image-: 34.71:   2%|▏         | 50/3303 [02:29<2:32:28,  2.81s/it]
Text+: 6.27 | Text-: 6.27 | Image+: 34.71 | Image-: 34.71:   2%|▏         | 51/3303 [02:29<2:30:17,  2.77s/it]
Text+: 6.15 | Text-: 6.15 | Image+: 35.96 | Image-: 35.96:   2%|▏         | 51/3303 [02:31<2:30:17,  2.77s/it]
Text+: 6.15 | Text-: 6.15 | Image+: 35.96 | Image-: 35.96:   2%|▏         | 52/3303 [02:31<2:27:59,  2.73s/it]
Text+: 6.04 | Text-: 6.04 | Image+: 37.17 | Image-: 37.17:   2%|▏         | 52/3303 [02:34<2:27:59,  2.73s/it]
Text+: 6.04 | Text-: 6.04 | Image+: 37.17 | Image-: 37.17:   2%|▏         | 53/3303 [02:34<2:28:26,  2.74s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 36.48 | Image-: 36.48:   2%|▏         | 53/3303 [02:37<2:28:26,  2.74s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 36.48 | Image-: 36.48:   2%|▏         | 54/3303 [02:37<2:25:16,  2.68s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 35.82 | Image-: 35.82:   2%|▏         | 54/3303 [02:39<2:25:16,  2.68s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 35.82 | Image-: 35.82:   2%|▏         | 55/3303 [02:39<2:24:37,  2.67s/it]
Text+: 5.71 | Text-: 5.71 | Image+: 35.18 | Image-: 35.18:   2%|▏         | 55/3303 [02:43<2:24:37,  2.67s/it]
Text+: 5.71 | Text-: 5.71 | Image+: 35.18 | Image-: 35.18:   2%|▏         | 56/3303 [02:43<2:44:17,  3.04s/it]
Text+: 5.61 | Text-: 5.61 | Image+: 36.14 | Image-: 36.14:   2%|▏         | 56/3303 [02:46<2:44:17,  3.04s/it]
Text+: 5.61 | Text-: 5.61 | Image+: 36.14 | Image-: 36.14:   2%|▏         | 57/3303 [02:46<2:38:54,  2.94s/it]
Text+: 6.03 | Text-: 6.03 | Image+: 37.24 | Image-: 37.24:   2%|▏         | 57/3303 [02:48<2:38:54,  2.94s/it]
Text+: 6.03 | Text-: 6.03 | Image+: 37.24 | Image-: 37.24:   2%|▏         | 58/3303 [02:49<2:35:32,  2.88s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 38.31 | Image-: 38.31:   2%|▏         | 58/3303 [02:51<2:35:32,  2.88s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 38.31 | Image-: 38.31:   2%|▏         | 59/3303 [02:51<2:33:22,  2.84s/it]
Text+: 5.83 | Text-: 5.83 | Image+: 39.33 | Image-: 39.33:   2%|▏         | 59/3303 [02:54<2:33:22,  2.84s/it]
Text+: 5.83 | Text-: 5.83 | Image+: 39.33 | Image-: 39.33:   2%|▏         | 60/3303 [02:54<2:34:43,  2.86s/it]
Text+: 5.74 | Text-: 5.74 | Image+: 38.69 | Image-: 38.69:   2%|▏         | 60/3303 [02:57<2:34:43,  2.86s/it]
Text+: 5.74 | Text-: 5.74 | Image+: 38.69 | Image-: 38.69:   2%|▏         | 61/3303 [02:57<2:31:02,  2.80s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 39.68 | Image-: 39.68:   2%|▏         | 61/3303 [03:00<2:31:02,  2.80s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 39.68 | Image-: 39.68:   2%|▏         | 62/3303 [03:00<2:34:15,  2.86s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 39.05 | Image-: 39.05:   2%|▏         | 62/3303 [03:03<2:34:15,  2.86s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 39.05 | Image-: 39.05:   2%|▏         | 63/3303 [03:03<2:31:37,  2.81s/it]
Text+: 5.47 | Text-: 5.47 | Image+: 39.38 | Image-: 39.38:   2%|▏         | 63/3303 [03:05<2:31:37,  2.81s/it]
Text+: 5.47 | Text-: 5.47 | Image+: 39.38 | Image-: 39.38:   2%|▏         | 64/3303 [03:05<2:27:47,  2.74s/it]
Text+: 5.38 | Text-: 5.38 | Image+: 38.77 | Image-: 38.77:   2%|▏         | 64/3303 [03:08<2:27:47,  2.74s/it]
Text+: 5.38 | Text-: 5.38 | Image+: 38.77 | Image-: 38.77:   2%|▏         | 65/3303 [03:08<2:26:55,  2.72s/it]
Text+: 5.3 | Text-: 5.3 | Image+: 38.18 | Image-: 38.18:   2%|▏         | 65/3303 [03:10<2:26:55,  2.72s/it]  
Text+: 5.3 | Text-: 5.3 | Image+: 38.18 | Image-: 38.18:   2%|▏         | 66/3303 [03:11<2:26:11,  2.71s/it]
Text+: 5.22 | Text-: 5.22 | Image+: 38.51 | Image-: 38.51:   2%|▏         | 66/3303 [03:13<2:26:11,  2.71s/it]
Text+: 5.22 | Text-: 5.22 | Image+: 38.51 | Image-: 38.51:   2%|▏         | 67/3303 [03:13<2:25:09,  2.69s/it]
Text+: 5.15 | Text-: 5.15 | Image+: 37.94 | Image-: 37.94:   2%|▏         | 67/3303 [03:16<2:25:09,  2.69s/it]
Text+: 5.15 | Text-: 5.15 | Image+: 37.94 | Image-: 37.94:   2%|▏         | 68/3303 [03:16<2:27:26,  2.73s/it]
Text+: 5.07 | Text-: 5.07 | Image+: 38.84 | Image-: 38.84:   2%|▏         | 68/3303 [03:19<2:27:26,  2.73s/it]
Text+: 5.07 | Text-: 5.07 | Image+: 38.84 | Image-: 38.84:   2%|▏         | 69/3303 [03:19<2:30:11,  2.79s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 39.57 | Image-: 39.57:   2%|▏         | 69/3303 [03:22<2:30:11,  2.79s/it]  
Text+: 5.0 | Text-: 5.0 | Image+: 39.57 | Image-: 39.57:   2%|▏         | 70/3303 [03:22<2:30:16,  2.79s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 39.01 | Image-: 39.01:   2%|▏         | 70/3303 [03:25<2:30:16,  2.79s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 39.01 | Image-: 39.01:   2%|▏         | 71/3303 [03:25<2:38:11,  2.94s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 39.86 | Image-: 39.86:   2%|▏         | 71/3303 [03:28<2:38:11,  2.94s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 39.86 | Image-: 39.86:   2%|▏         | 72/3303 [03:28<2:38:45,  2.95s/it]
Text+: 4.79 | Text-: 4.79 | Image+: 39.73 | Image-: 39.73:   2%|▏         | 72/3303 [03:30<2:38:45,  2.95s/it]
Text+: 4.79 | Text-: 4.79 | Image+: 39.73 | Image-: 39.73:   2%|▏         | 73/3303 [03:31<2:33:57,  2.86s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 39.19 | Image-: 39.19:   2%|▏         | 73/3303 [03:34<2:33:57,  2.86s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 39.19 | Image-: 39.19:   2%|▏         | 74/3303 [03:34<2:37:09,  2.92s/it]
Text+: 4.67 | Text-: 4.67 | Image+: 38.67 | Image-: 38.67:   2%|▏         | 74/3303 [03:36<2:37:09,  2.92s/it]
Text+: 4.67 | Text-: 4.67 | Image+: 38.67 | Image-: 38.67:   2%|▏         | 75/3303 [03:36<2:33:07,  2.85s/it]
Text+: 4.61 | Text-: 4.61 | Image+: 38.16 | Image-: 38.16:   2%|▏         | 75/3303 [03:39<2:33:07,  2.85s/it]
Text+: 4.61 | Text-: 4.61 | Image+: 38.16 | Image-: 38.16:   2%|▏         | 76/3303 [03:39<2:31:51,  2.82s/it]
Text+: 4.55 | Text-: 4.55 | Image+: 38.96 | Image-: 38.96:   2%|▏         | 76/3303 [03:42<2:31:51,  2.82s/it]
Text+: 4.55 | Text-: 4.55 | Image+: 38.96 | Image-: 38.96:   2%|▏         | 77/3303 [03:42<2:29:45,  2.79s/it]
Text+: 4.49 | Text-: 4.49 | Image+: 39.74 | Image-: 39.74:   2%|▏         | 77/3303 [03:45<2:29:45,  2.79s/it]
Text+: 4.49 | Text-: 4.49 | Image+: 39.74 | Image-: 39.74:   2%|▏         | 78/3303 [03:45<2:33:12,  2.85s/it]
Text+: 4.43 | Text-: 4.43 | Image+: 39.24 | Image-: 39.24:   2%|▏         | 78/3303 [03:48<2:33:12,  2.85s/it]
Text+: 4.43 | Text-: 4.43 | Image+: 39.24 | Image-: 39.24:   2%|▏         | 79/3303 [03:48<2:38:16,  2.95s/it]
Text+: 4.38 | Text-: 4.38 | Image+: 40.0 | Image-: 40.0:   2%|▏         | 79/3303 [03:51<2:38:16,  2.95s/it]  
Text+: 4.38 | Text-: 4.38 | Image+: 40.0 | Image-: 40.0:   2%|▏         | 80/3303 [03:51<2:38:05,  2.94s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 40.74 | Image-: 40.74:   2%|▏         | 80/3303 [03:53<2:38:05,  2.94s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 40.74 | Image-: 40.74:   2%|▏         | 81/3303 [03:54<2:32:57,  2.85s/it]
