WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 3.45 | Text-: 3.45 | Image+: 43.1 | Image-: 43.1:   1%|          | 28/3303 [01:59<3:40:06,  4.03s/it]  
Text+: 3.45 | Text-: 3.45 | Image+: 43.1 | Image-: 43.1:   1%|          | 29/3303 [02:00<3:35:42,  3.95s/it]
Text+: 3.33 | Text-: 3.33 | Image+: 41.67 | Image-: 41.67:   1%|          | 29/3303 [02:03<3:35:42,  3.95s/it]
Text+: 3.33 | Text-: 3.33 | Image+: 41.67 | Image-: 41.67:   1%|          | 30/3303 [02:03<3:32:14,  3.89s/it]
Text+: 3.23 | Text-: 3.23 | Image+: 40.32 | Image-: 40.32:   1%|          | 30/3303 [02:07<3:32:14,  3.89s/it]
Text+: 3.23 | Text-: 3.23 | Image+: 40.32 | Image-: 40.32:   1%|          | 31/3303 [02:07<3:30:17,  3.86s/it]
Text+: 3.12 | Text-: 3.12 | Image+: 39.06 | Image-: 39.06:   1%|          | 31/3303 [02:11<3:30:17,  3.86s/it]
Text+: 3.12 | Text-: 3.12 | Image+: 39.06 | Image-: 39.06:   1%|          | 32/3303 [02:11<3:30:29,  3.86s/it]
Text+: 3.03 | Text-: 3.03 | Image+: 37.88 | Image-: 37.88:   1%|          | 32/3303 [02:15<3:30:29,  3.86s/it]
Text+: 3.03 | Text-: 3.03 | Image+: 37.88 | Image-: 37.88:   1%|          | 33/3303 [02:15<3:31:20,  3.88s/it]
Text+: 2.94 | Text-: 2.94 | Image+: 37.65 | Image-: 37.65:   1%|          | 33/3303 [02:19<3:31:20,  3.88s/it]
Text+: 2.94 | Text-: 2.94 | Image+: 37.65 | Image-: 37.65:   1%|          | 34/3303 [02:19<3:32:51,  3.91s/it]
Text+: 2.86 | Text-: 2.86 | Image+: 36.57 | Image-: 36.57:   1%|          | 34/3303 [02:23<3:32:51,  3.91s/it]
Text+: 2.86 | Text-: 2.86 | Image+: 36.57 | Image-: 36.57:   1%|          | 35/3303 [02:23<3:33:24,  3.92s/it]
Text+: 2.78 | Text-: 2.78 | Image+: 38.33 | Image-: 38.33:   1%|          | 35/3303 [02:27<3:33:24,  3.92s/it]
Text+: 2.78 | Text-: 2.78 | Image+: 38.33 | Image-: 38.33:   1%|          | 36/3303 [02:27<3:34:51,  3.95s/it]
Text+: 2.7 | Text-: 2.7 | Image+: 37.3 | Image-: 37.3:   1%|          | 36/3303 [02:30<3:34:51,  3.95s/it]    
Text+: 2.7 | Text-: 2.7 | Image+: 37.3 | Image-: 37.3:   1%|          | 37/3303 [02:31<3:33:49,  3.93s/it]
Text+: 2.63 | Text-: 2.63 | Image+: 36.32 | Image-: 36.32:   1%|          | 37/3303 [02:34<3:33:49,  3.93s/it]
Text+: 2.63 | Text-: 2.63 | Image+: 36.32 | Image-: 36.32:   1%|          | 38/3303 [02:35<3:33:28,  3.92s/it]
Text+: 2.56 | Text-: 2.56 | Image+: 35.38 | Image-: 35.38:   1%|          | 38/3303 [02:38<3:33:28,  3.92s/it]
Text+: 2.56 | Text-: 2.56 | Image+: 35.38 | Image-: 35.38:   1%|          | 39/3303 [02:39<3:34:49,  3.95s/it]
