WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 6.47 | Text-: 6.47 | Image+: 40.29 | Image-: 40.29:   1%|          | 33/3303 [01:42<2:52:07,  3.16s/it]
Text+: 6.47 | Text-: 6.47 | Image+: 40.29 | Image-: 40.29:   1%|          | 34/3303 [01:42<2:45:08,  3.03s/it]
Text+: 6.29 | Text-: 6.29 | Image+: 39.14 | Image-: 39.14:   1%|          | 34/3303 [01:45<2:45:08,  3.03s/it]
Text+: 6.29 | Text-: 6.29 | Image+: 39.14 | Image-: 39.14:   1%|          | 35/3303 [01:45<2:44:54,  3.03s/it]
Text+: 6.11 | Text-: 6.11 | Image+: 38.06 | Image-: 38.06:   1%|          | 35/3303 [01:48<2:44:54,  3.03s/it]
Text+: 6.11 | Text-: 6.11 | Image+: 38.06 | Image-: 38.06:   1%|          | 36/3303 [01:48<2:49:01,  3.10s/it]
Text+: 5.95 | Text-: 5.95 | Image+: 39.73 | Image-: 39.73:   1%|          | 36/3303 [01:51<2:49:01,  3.10s/it]
Text+: 5.95 | Text-: 5.95 | Image+: 39.73 | Image-: 39.73:   1%|          | 37/3303 [01:51<2:50:15,  3.13s/it]
Text+: 5.79 | Text-: 5.79 | Image+: 41.32 | Image-: 41.32:   1%|          | 37/3303 [01:54<2:50:15,  3.13s/it]
Text+: 5.79 | Text-: 5.79 | Image+: 41.32 | Image-: 41.32:   1%|          | 38/3303 [01:54<2:44:06,  3.02s/it]
Text+: 5.64 | Text-: 5.64 | Image+: 40.26 | Image-: 40.26:   1%|          | 38/3303 [01:57<2:44:06,  3.02s/it]
Text+: 5.64 | Text-: 5.64 | Image+: 40.26 | Image-: 40.26:   1%|          | 39/3303 [01:57<2:39:38,  2.93s/it]
Text+: 5.5 | Text-: 5.5 | Image+: 39.25 | Image-: 39.25:   1%|          | 39/3303 [01:59<2:39:38,  2.93s/it]  
Text+: 5.5 | Text-: 5.5 | Image+: 39.25 | Image-: 39.25:   1%|          | 40/3303 [02:00<2:38:09,  2.91s/it]
Text+: 5.37 | Text-: 5.37 | Image+: 40.73 | Image-: 40.73:   1%|          | 40/3303 [02:02<2:38:09,  2.91s/it]
Text+: 5.37 | Text-: 5.37 | Image+: 40.73 | Image-: 40.73:   1%|          | 41/3303 [02:02<2:31:55,  2.79s/it]
Text+: 5.24 | Text-: 5.24 | Image+: 39.76 | Image-: 39.76:   1%|          | 41/3303 [02:05<2:31:55,  2.79s/it]
Text+: 5.24 | Text-: 5.24 | Image+: 39.76 | Image-: 39.76:   1%|▏         | 42/3303 [02:05<2:34:30,  2.84s/it]
Text+: 5.12 | Text-: 5.12 | Image+: 38.84 | Image-: 38.84:   1%|▏         | 42/3303 [02:08<2:34:30,  2.84s/it]
Text+: 5.12 | Text-: 5.12 | Image+: 38.84 | Image-: 38.84:   1%|▏         | 43/3303 [02:09<2:46:07,  3.06s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 37.95 | Image-: 37.95:   1%|▏         | 43/3303 [02:11<2:46:07,  3.06s/it]  
Text+: 5.0 | Text-: 5.0 | Image+: 37.95 | Image-: 37.95:   1%|▏         | 44/3303 [02:11<2:38:35,  2.92s/it]
Text+: 4.89 | Text-: 4.89 | Image+: 37.11 | Image-: 37.11:   1%|▏         | 44/3303 [02:14<2:38:35,  2.92s/it]
Text+: 4.89 | Text-: 4.89 | Image+: 37.11 | Image-: 37.11:   1%|▏         | 45/3303 [02:14<2:38:15,  2.91s/it]
Text+: 4.78 | Text-: 4.78 | Image+: 36.3 | Image-: 36.3:   1%|▏         | 45/3303 [02:17<2:38:15,  2.91s/it]  
Text+: 4.78 | Text-: 4.78 | Image+: 36.3 | Image-: 36.3:   1%|▏         | 46/3303 [02:18<2:46:55,  3.07s/it]
Text+: 6.81 | Text-: 6.81 | Image+: 35.53 | Image-: 35.53:   1%|▏         | 46/3303 [02:21<2:46:55,  3.07s/it]
Text+: 6.81 | Text-: 6.81 | Image+: 35.53 | Image-: 35.53:   1%|▏         | 47/3303 [02:21<2:47:54,  3.09s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 34.79 | Image-: 34.79:   1%|▏         | 47/3303 [02:23<2:47:54,  3.09s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 34.79 | Image-: 34.79:   1%|▏         | 48/3303 [02:23<2:40:43,  2.96s/it]
Text+: 6.53 | Text-: 6.53 | Image+: 34.08 | Image-: 34.08:   1%|▏         | 48/3303 [02:26<2:40:43,  2.96s/it]
Text+: 6.53 | Text-: 6.53 | Image+: 34.08 | Image-: 34.08:   1%|▏         | 49/3303 [02:26<2:35:57,  2.88s/it]
Text+: 6.4 | Text-: 6.4 | Image+: 35.4 | Image-: 35.4:   1%|▏         | 49/3303 [02:29<2:35:57,  2.88s/it]    
Text+: 6.4 | Text-: 6.4 | Image+: 35.4 | Image-: 35.4:   2%|▏         | 50/3303 [02:30<2:46:42,  3.07s/it]
Text+: 6.27 | Text-: 6.27 | Image+: 34.71 | Image-: 34.71:   2%|▏         | 50/3303 [02:32<2:46:42,  3.07s/it]
Text+: 6.27 | Text-: 6.27 | Image+: 34.71 | Image-: 34.71:   2%|▏         | 51/3303 [02:33<2:44:56,  3.04s/it]
Text+: 6.15 | Text-: 6.15 | Image+: 35.96 | Image-: 35.96:   2%|▏         | 51/3303 [02:35<2:44:56,  3.04s/it]
Text+: 6.15 | Text-: 6.15 | Image+: 35.96 | Image-: 35.96:   2%|▏         | 52/3303 [02:35<2:38:42,  2.93s/it]
Text+: 6.04 | Text-: 6.04 | Image+: 37.17 | Image-: 37.17:   2%|▏         | 52/3303 [02:38<2:38:42,  2.93s/it]
Text+: 6.04 | Text-: 6.04 | Image+: 37.17 | Image-: 37.17:   2%|▏         | 53/3303 [02:38<2:33:49,  2.84s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 36.48 | Image-: 36.48:   2%|▏         | 53/3303 [02:41<2:33:49,  2.84s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 36.48 | Image-: 36.48:   2%|▏         | 54/3303 [02:41<2:36:30,  2.89s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 35.82 | Image-: 35.82:   2%|▏         | 54/3303 [02:43<2:36:30,  2.89s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 35.82 | Image-: 35.82:   2%|▏         | 55/3303 [02:43<2:30:42,  2.78s/it]
Text+: 5.71 | Text-: 5.71 | Image+: 35.18 | Image-: 35.18:   2%|▏         | 55/3303 [02:46<2:30:42,  2.78s/it]
Text+: 5.71 | Text-: 5.71 | Image+: 35.18 | Image-: 35.18:   2%|▏         | 56/3303 [02:46<2:27:00,  2.72s/it]
Text+: 5.61 | Text-: 5.61 | Image+: 36.14 | Image-: 36.14:   2%|▏         | 56/3303 [02:49<2:27:00,  2.72s/it]
Text+: 5.61 | Text-: 5.61 | Image+: 36.14 | Image-: 36.14:   2%|▏         | 57/3303 [02:49<2:40:23,  2.96s/it]
Text+: 6.03 | Text-: 6.03 | Image+: 37.24 | Image-: 37.24:   2%|▏         | 57/3303 [02:52<2:40:23,  2.96s/it]
Text+: 6.03 | Text-: 6.03 | Image+: 37.24 | Image-: 37.24:   2%|▏         | 58/3303 [02:52<2:39:48,  2.95s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 38.31 | Image-: 38.31:   2%|▏         | 58/3303 [02:55<2:39:48,  2.95s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 38.31 | Image-: 38.31:   2%|▏         | 59/3303 [02:55<2:37:18,  2.91s/it]
Text+: 5.83 | Text-: 5.83 | Image+: 39.33 | Image-: 39.33:   2%|▏         | 59/3303 [02:58<2:37:18,  2.91s/it]
Text+: 5.83 | Text-: 5.83 | Image+: 39.33 | Image-: 39.33:   2%|▏         | 60/3303 [02:58<2:33:07,  2.83s/it]
Text+: 5.74 | Text-: 5.74 | Image+: 38.69 | Image-: 38.69:   2%|▏         | 60/3303 [03:01<2:33:07,  2.83s/it]
Text+: 5.74 | Text-: 5.74 | Image+: 38.69 | Image-: 38.69:   2%|▏         | 61/3303 [03:01<2:43:09,  3.02s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 39.68 | Image-: 39.68:   2%|▏         | 61/3303 [03:04<2:43:09,  3.02s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 39.68 | Image-: 39.68:   2%|▏         | 62/3303 [03:04<2:41:51,  3.00s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 39.05 | Image-: 39.05:   2%|▏         | 62/3303 [03:07<2:41:51,  3.00s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 39.05 | Image-: 39.05:   2%|▏         | 63/3303 [03:07<2:38:35,  2.94s/it]
Text+: 5.47 | Text-: 5.47 | Image+: 39.38 | Image-: 39.38:   2%|▏         | 63/3303 [03:10<2:38:35,  2.94s/it]
Text+: 5.47 | Text-: 5.47 | Image+: 39.38 | Image-: 39.38:   2%|▏         | 64/3303 [03:10<2:38:04,  2.93s/it]
Text+: 5.38 | Text-: 5.38 | Image+: 38.77 | Image-: 38.77:   2%|▏         | 64/3303 [03:13<2:38:04,  2.93s/it]
Text+: 5.38 | Text-: 5.38 | Image+: 38.77 | Image-: 38.77:   2%|▏         | 65/3303 [03:14<2:50:10,  3.15s/it]
Text+: 5.3 | Text-: 5.3 | Image+: 38.18 | Image-: 38.18:   2%|▏         | 65/3303 [03:17<2:50:10,  3.15s/it]  
Text+: 5.3 | Text-: 5.3 | Image+: 38.18 | Image-: 38.18:   2%|▏         | 66/3303 [03:17<2:50:55,  3.17s/it]
Text+: 5.22 | Text-: 5.22 | Image+: 38.51 | Image-: 38.51:   2%|▏         | 66/3303 [03:20<2:50:55,  3.17s/it]
Text+: 5.22 | Text-: 5.22 | Image+: 38.51 | Image-: 38.51:   2%|▏         | 67/3303 [03:20<2:50:48,  3.17s/it]
Text+: 5.15 | Text-: 5.15 | Image+: 37.94 | Image-: 37.94:   2%|▏         | 67/3303 [03:23<2:50:48,  3.17s/it]
Text+: 5.15 | Text-: 5.15 | Image+: 37.94 | Image-: 37.94:   2%|▏         | 68/3303 [03:23<2:49:46,  3.15s/it]
Text+: 5.07 | Text-: 5.07 | Image+: 38.84 | Image-: 38.84:   2%|▏         | 68/3303 [03:26<2:49:46,  3.15s/it]
Text+: 5.07 | Text-: 5.07 | Image+: 38.84 | Image-: 38.84:   2%|▏         | 69/3303 [03:26<2:47:19,  3.10s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 39.57 | Image-: 39.57:   2%|▏         | 69/3303 [03:29<2:47:19,  3.10s/it]  
Text+: 5.0 | Text-: 5.0 | Image+: 39.57 | Image-: 39.57:   2%|▏         | 70/3303 [03:29<2:50:09,  3.16s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 39.01 | Image-: 39.01:   2%|▏         | 70/3303 [03:32<2:50:09,  3.16s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 39.01 | Image-: 39.01:   2%|▏         | 71/3303 [03:33<2:50:26,  3.16s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 39.86 | Image-: 39.86:   2%|▏         | 71/3303 [03:35<2:50:26,  3.16s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 39.86 | Image-: 39.86:   2%|▏         | 72/3303 [03:36<2:47:51,  3.12s/it]
Text+: 4.79 | Text-: 4.79 | Image+: 39.73 | Image-: 39.73:   2%|▏         | 72/3303 [03:38<2:47:51,  3.12s/it]
Text+: 4.79 | Text-: 4.79 | Image+: 39.73 | Image-: 39.73:   2%|▏         | 73/3303 [03:38<2:43:00,  3.03s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 39.19 | Image-: 39.19:   2%|▏         | 73/3303 [03:41<2:43:00,  3.03s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 39.19 | Image-: 39.19:   2%|▏         | 74/3303 [03:42<2:46:20,  3.09s/it]
Text+: 4.67 | Text-: 4.67 | Image+: 38.67 | Image-: 38.67:   2%|▏         | 74/3303 [03:44<2:46:20,  3.09s/it]
Text+: 4.67 | Text-: 4.67 | Image+: 38.67 | Image-: 38.67:   2%|▏         | 75/3303 [03:45<2:44:38,  3.06s/it]
Text+: 4.61 | Text-: 4.61 | Image+: 38.16 | Image-: 38.16:   2%|▏         | 75/3303 [03:47<2:44:38,  3.06s/it]
Text+: 4.61 | Text-: 4.61 | Image+: 38.16 | Image-: 38.16:   2%|▏         | 76/3303 [03:48<2:43:24,  3.04s/it]
Text+: 4.55 | Text-: 4.55 | Image+: 38.96 | Image-: 38.96:   2%|▏         | 76/3303 [03:50<2:43:24,  3.04s/it]
Text+: 4.55 | Text-: 4.55 | Image+: 38.96 | Image-: 38.96:   2%|▏         | 77/3303 [03:50<2:37:03,  2.92s/it]
Text+: 4.49 | Text-: 4.49 | Image+: 39.74 | Image-: 39.74:   2%|▏         | 77/3303 [03:53<2:37:03,  2.92s/it]
Text+: 4.49 | Text-: 4.49 | Image+: 39.74 | Image-: 39.74:   2%|▏         | 78/3303 [03:54<2:44:31,  3.06s/it]
Text+: 4.43 | Text-: 4.43 | Image+: 39.24 | Image-: 39.24:   2%|▏         | 78/3303 [03:56<2:44:31,  3.06s/it]
Text+: 4.43 | Text-: 4.43 | Image+: 39.24 | Image-: 39.24:   2%|▏         | 79/3303 [03:57<2:44:23,  3.06s/it]
Text+: 4.38 | Text-: 4.38 | Image+: 40.0 | Image-: 40.0:   2%|▏         | 79/3303 [03:59<2:44:23,  3.06s/it]  
Text+: 4.38 | Text-: 4.38 | Image+: 40.0 | Image-: 40.0:   2%|▏         | 80/3303 [03:59<2:38:28,  2.95s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 40.74 | Image-: 40.74:   2%|▏         | 80/3303 [04:02<2:38:28,  2.95s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 40.74 | Image-: 40.74:   2%|▏         | 81/3303 [04:02<2:36:14,  2.91s/it]
Text+: 4.63 | Text-: 4.63 | Image+: 40.24 | Image-: 40.24:   2%|▏         | 81/3303 [04:06<2:36:14,  2.91s/it]
Text+: 4.63 | Text-: 4.63 | Image+: 40.24 | Image-: 40.24:   2%|▏         | 82/3303 [04:06<2:46:38,  3.10s/it]
Text+: 4.58 | Text-: 4.58 | Image+: 40.96 | Image-: 40.96:   2%|▏         | 82/3303 [04:09<2:46:38,  3.10s/it]
Text+: 4.58 | Text-: 4.58 | Image+: 40.96 | Image-: 40.96:   3%|▎         | 83/3303 [04:09<2:46:22,  3.10s/it]
Text+: 4.52 | Text-: 4.52 | Image+: 40.83 | Image-: 40.83:   3%|▎         | 83/3303 [04:11<2:46:22,  3.10s/it]
Text+: 4.52 | Text-: 4.52 | Image+: 40.83 | Image-: 40.83:   3%|▎         | 84/3303 [04:12<2:39:27,  2.97s/it]
Text+: 4.47 | Text-: 4.47 | Image+: 40.35 | Image-: 40.35:   3%|▎         | 84/3303 [04:14<2:39:27,  2.97s/it]
