WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/huggingface_hub/file_download.py:1142: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/transformers/modeling_utils.py:881: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(

Text+: 2.78 | Text-: 2.78 | Image+: 38.33 | Image-: 38.33:   1%|          | 35/3303 [00:48<1:10:10,  1.29s/it]
Text+: 2.78 | Text-: 2.78 | Image+: 38.33 | Image-: 38.33:   1%|          | 36/3303 [00:48<1:09:59,  1.29s/it]
Text+: 2.7 | Text-: 2.7 | Image+: 37.3 | Image-: 37.3:   1%|          | 36/3303 [00:49<1:09:59,  1.29s/it]    
Text+: 2.7 | Text-: 2.7 | Image+: 37.3 | Image-: 37.3:   1%|          | 37/3303 [00:49<1:09:56,  1.28s/it]
Text+: 2.63 | Text-: 2.63 | Image+: 36.32 | Image-: 36.32:   1%|          | 37/3303 [00:50<1:09:56,  1.28s/it]
Text+: 2.63 | Text-: 2.63 | Image+: 36.32 | Image-: 36.32:   1%|          | 38/3303 [00:51<1:09:55,  1.28s/it]
Text+: 2.56 | Text-: 2.56 | Image+: 35.38 | Image-: 35.38:   1%|          | 38/3303 [00:52<1:09:55,  1.28s/it]
Text+: 2.56 | Text-: 2.56 | Image+: 35.38 | Image-: 35.38:   1%|          | 39/3303 [00:52<1:09:52,  1.28s/it]
Text+: 2.5 | Text-: 2.5 | Image+: 34.5 | Image-: 34.5:   1%|          | 39/3303 [00:53<1:09:52,  1.28s/it]    
Text+: 2.5 | Text-: 2.5 | Image+: 34.5 | Image-: 34.5:   1%|          | 40/3303 [00:53<1:09:49,  1.28s/it]
Text+: 2.44 | Text-: 2.44 | Image+: 36.1 | Image-: 36.1:   1%|          | 40/3303 [00:54<1:09:49,  1.28s/it]
Text+: 2.44 | Text-: 2.44 | Image+: 36.1 | Image-: 36.1:   1%|          | 41/3303 [00:54<1:09:47,  1.28s/it]
Text+: 2.38 | Text-: 2.38 | Image+: 35.24 | Image-: 35.24:   1%|          | 41/3303 [00:56<1:09:47,  1.28s/it]
Text+: 2.38 | Text-: 2.38 | Image+: 35.24 | Image-: 35.24:   1%|▏         | 42/3303 [00:56<1:09:45,  1.28s/it]
Text+: 2.33 | Text-: 2.33 | Image+: 34.42 | Image-: 34.42:   1%|▏         | 42/3303 [00:57<1:09:45,  1.28s/it]
Text+: 2.33 | Text-: 2.33 | Image+: 34.42 | Image-: 34.42:   1%|▏         | 43/3303 [00:57<1:09:44,  1.28s/it]
Text+: 2.95 | Text-: 2.95 | Image+: 33.64 | Image-: 33.64:   1%|▏         | 43/3303 [00:58<1:09:44,  1.28s/it]
Text+: 2.95 | Text-: 2.95 | Image+: 33.64 | Image-: 33.64:   1%|▏         | 44/3303 [00:58<1:12:28,  1.33s/it]
Text+: 3.56 | Text-: 3.56 | Image+: 32.89 | Image-: 32.89:   1%|▏         | 44/3303 [01:00<1:12:28,  1.33s/it]
Text+: 3.56 | Text-: 3.56 | Image+: 32.89 | Image-: 32.89:   1%|▏         | 45/3303 [01:00<1:22:22,  1.52s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 32.17 | Image-: 32.17:   1%|▏         | 45/3303 [01:02<1:22:22,  1.52s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 32.17 | Image-: 32.17:   1%|▏         | 46/3303 [01:02<1:28:49,  1.64s/it]
Text+: 5.53 | Text-: 5.53 | Image+: 31.49 | Image-: 31.49:   1%|▏         | 46/3303 [01:03<1:28:49,  1.64s/it]
Text+: 5.53 | Text-: 5.53 | Image+: 31.49 | Image-: 31.49:   1%|▏         | 47/3303 [01:04<1:22:02,  1.51s/it]
Text+: 5.42 | Text-: 5.42 | Image+: 30.83 | Image-: 30.83:   1%|▏         | 47/3303 [01:05<1:22:02,  1.51s/it]
Text+: 5.42 | Text-: 5.42 | Image+: 30.83 | Image-: 30.83:   1%|▏         | 48/3303 [01:05<1:18:11,  1.44s/it]
Text+: 5.31 | Text-: 5.31 | Image+: 32.24 | Image-: 32.24:   1%|▏         | 48/3303 [01:06<1:18:11,  1.44s/it]
Text+: 5.31 | Text-: 5.31 | Image+: 32.24 | Image-: 32.24:   1%|▏         | 49/3303 [01:06<1:15:35,  1.39s/it]
Text+: 5.2 | Text-: 5.2 | Image+: 31.6 | Image-: 31.6:   1%|▏         | 49/3303 [01:07<1:15:35,  1.39s/it]    
Text+: 5.2 | Text-: 5.2 | Image+: 31.6 | Image-: 31.6:   2%|▏         | 50/3303 [01:07<1:13:46,  1.36s/it]
Text+: 5.1 | Text-: 5.1 | Image+: 30.98 | Image-: 30.98:   2%|▏         | 50/3303 [01:08<1:13:46,  1.36s/it]
Text+: 5.1 | Text-: 5.1 | Image+: 30.98 | Image-: 30.98:   2%|▏         | 51/3303 [01:09<1:12:36,  1.34s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 30.38 | Image-: 30.38:   2%|▏         | 51/3303 [01:10<1:12:36,  1.34s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 30.38 | Image-: 30.38:   2%|▏         | 52/3303 [01:10<1:11:41,  1.32s/it]
Text+: 4.91 | Text-: 4.91 | Image+: 31.7 | Image-: 31.7:   2%|▏         | 52/3303 [01:11<1:11:41,  1.32s/it]
Text+: 4.91 | Text-: 4.91 | Image+: 31.7 | Image-: 31.7:   2%|▏         | 53/3303 [01:11<1:11:07,  1.31s/it]
Text+: 4.81 | Text-: 4.81 | Image+: 31.11 | Image-: 31.11:   2%|▏         | 53/3303 [01:12<1:11:07,  1.31s/it]
Text+: 4.81 | Text-: 4.81 | Image+: 31.11 | Image-: 31.11:   2%|▏         | 54/3303 [01:13<1:10:36,  1.30s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 32.36 | Image-: 32.36:   2%|▏         | 54/3303 [01:14<1:10:36,  1.30s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 32.36 | Image-: 32.36:   2%|▏         | 55/3303 [01:14<1:10:22,  1.30s/it]
Text+: 4.64 | Text-: 4.64 | Image+: 31.79 | Image-: 31.79:   2%|▏         | 55/3303 [01:15<1:10:22,  1.30s/it]
